id,occupation,location,tstamp,treatment,treated_cg,treated_em,did_mc,started_assignment,completed_assignment,time_read,time_check,time_ready,time_assignment,man_check_cgo_correct,man_check_emi_correct,passed_both_mc,sga,da,fvg_market,fvg_model,gains_inv_property,int_exp,tax_exp,dinclude
1GGSEOSQBK2HG6LY,Financial Analyst,Europe,2019-07-03 10:53:00,1,FALSE,FALSE,TRUE,TRUE,TRUE,28.3641180992126,13.767959356308,1.70354413986206,72.4776675701141,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
56DYDGG6981L5QLB,Financial Analyst,Europe,2019-07-03 10:54:39,2,FALSE,TRUE,TRUE,TRUE,TRUE,45.7922704219818,14.1797041893005,3.67210078239441,96.5258212089539,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
V4GY1A7WHI15T95K,Financial Analyst,Europe,2019-07-03 10:59:29,4,TRUE,TRUE,FALSE,FALSE,FALSE,11.3106095790863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X7EQ9K978HSF3SJT,Financial Analyst,Europe,2019-07-03 11:11:18,4,TRUE,TRUE,TRUE,TRUE,TRUE,45.6091928482056,13.061683177948,2.10494351387024,102.162954568863,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
XXBUYGUY5OVWV206,Financial Analyst,Europe,2019-07-03 11:28:28,3,TRUE,FALSE,TRUE,TRUE,FALSE,2.87475275993347,27.3911063671112,1.82988452911377,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
938D73Z7ZW34HF2Y,Financial Analyst,North America,2019-07-03 11:30:34,3,TRUE,FALSE,TRUE,TRUE,TRUE,6.30086064338684,11.4103229045868,2.48731231689453,104.775789737701,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
CIO4C3VQD1GJZGP7,Financial Analyst,Europe,2019-07-03 11:38:55,3,TRUE,FALSE,TRUE,TRUE,TRUE,59.3877995014191,24.5416464805603,9.78467178344727,192.84769487381,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
KC80V86T6J6X3186,Portfolio Manager,North America,2019-07-03 11:46:27,1,FALSE,FALSE,TRUE,TRUE,TRUE,15.1900577545166,18.021199464798,6.16549277305603,41.0110514163971,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
F4HLO34M3SWHPBM2,Financial Analyst,North America,2019-07-03 11:48:58,1,FALSE,FALSE,TRUE,TRUE,TRUE,113.536114692688,12.0476458072662,1.59863519668579,55.4511024951935,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0
KCDZ7Q34BE0QRI7X,Financial Analyst,Europe,2019-07-03 11:46:55,4,TRUE,TRUE,TRUE,TRUE,FALSE,28.8277425765991,19.1612644195557,1.53473043441772,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
